,jd,lon,lat,sat,cyc,dir,azif,azim,azia,incf,incm,inca,sigf,sigm,siga,swath,kpf,kpm,kpa,mdis,num
2007-02-11 03:21:07+00:00,2454142.639675568,0.0,0.0,3,0,A,117.87134552001953,72.96376037597656,27.91654396057129,39.08134078979492,29.421850204467773,39.06134033203125,-14.289190292358398,-11.391295433044434,-13.735634803771973,0,0.02622992917895317,0.03431472182273865,0.032070405781269073,7.152289867401123,6
2007-02-12 03:00:32+00:00,2454143.6253741095,0.0,0.0,3,0,A,114.5797348022461,69.6442642211914,24.744672775268555,62.261138916015625,51.09669876098633,62.19392013549805,-17.327390670776367,-14.74162483215332,-17.12804412841797,0,0.030487142503261566,0.038461267948150635,0.03297603130340576,5.029226303100586,6
2007-02-12 16:59:19+00:00,2454144.207860093,0.0,0.0,3,0,D,-27.18917465209961,-72.015380859375,-117.03398895263672,46.61183547973633,36.05850601196289,46.70659637451172,-11.917671203613281,-10.256460189819336,-12.348194122314453,0,0.02433062717318535,0.037821605801582336,0.03079255111515522,6.411466598510742,6
2007-02-13 04:19:51+00:00,2454144.680452871,0.0,0.0,3,0,A,-144.26727294921875,-98.21572875976562,-52.06403350830078,63.467437744140625,52.04269790649414,63.36743927001953,-16.16584014892578,-14.17940616607666,-16.833209991455078,1,0.02491171844303608,0.03583963215351105,0.029994245618581772,2.9802820682525635,7
2007-02-14 03:59:04+00:00,2454145.6660211924,0.0,0.0,3,0,A,-146.57838439941406,-101.3200912475586,-56.070106506347656,39.55488967895508,29.80093002319336,39.46910095214844,-13.731852531433105,-11.141555786132812,-14.263603210449219,1,0.03180263563990593,0.04552526772022247,0.02846125140786171,6.046667575836182,6
2007-02-14 16:17:58+00:00,2454146.1791489935,0.0,0.0,3,0,D,56.3162956237793,101.53878784179688,146.69198608398438,36.77133560180664,27.51216697692871,36.78085708618164,-13.876115798950195,-11.030773162841797,-13.778666496276855,1,0.030428653582930565,0.030388163402676582,0.02586442604660988,5.263380527496338,5
2007-02-15 15:57:13+00:00,2454147.164739144,0.0,0.0,3,0,D,52.351051330566406,98.44874572753906,144.38714599609375,61.882694244384766,50.487884521484375,61.884727478027344,-18.853984832763672,-16.950895309448242,-18.95730972290039,1,0.029275691136717796,0.03169063851237297,0.03244515880942345,0.974470317363739,7
2007-02-16 03:17:43+00:00,2454147.637309931,0.0,0.0,3,0,A,117.29547882080078,72.41128540039062,27.418691635131836,44.1662483215332,33.81058120727539,44.1358642578125,-15.922588348388672,-13.17307186126709,-15.47100830078125,0,0.030407220125198364,0.0387592576444149,0.031747978180646896,5.52045202255249,6
2007-02-16 17:16:32+00:00,2454148.2198171415,0.0,0.0,3,0,D,-24.547245025634766,-69.37262725830078,-114.39666748046875,63.37406539916992,52.356929779052734,63.543487548828125,-18.64893341064453,-16.897829055786133,-18.40658187866211,0,0.03669437766075134,0.03535754978656769,0.026540758088231087,6.132154941558838,4
2007-02-17 16:55:56+00:00,2454149.2055159262,0.0,0.0,3,0,D,-27.690523147583008,-72.53353118896484,-117.59713745117188,41.84023666381836,31.835193634033203,41.919864654541016,-11.519779205322266,-8.909378051757812,-11.065881729125977,0,0.03257128968834877,0.044065553694963455,0.03869272395968437,4.9009833335876465,7
2007-02-18 04:16:26+00:00,2454149.6780872922,0.0,0.0,3,0,A,-144.64158630371094,-98.72930908203125,-52.749717712402344,60.502349853515625,49.047481536865234,60.40045166015625,-16.918636322021484,-14.763931274414062,-16.821765899658203,1,0.03584165498614311,0.035643916577100754,0.028324393555521965,5.276994228363037,7
2007-02-19 16:14:34+00:00,2454151.1767831487,0.0,0.0,3,0,D,55.689476013183594,101.04316711425781,146.31353759765625,42.03832244873047,31.942686080932617,42.03323745727539,-10.140669822692871,-8.461851119995117,-10.7457857131958,1,0.033245254307985306,0.03612859919667244,0.033317577093839645,4.706967353820801,7
2007-02-21 03:14:21+00:00,2454152.634966077,0.0,0.0,3,0,A,116.73385620117188,71.85421752929688,26.906625747680664,48.71743392944336,37.921424865722656,48.691184997558594,-13.251091003417969,-10.376495361328125,-12.834281921386719,0,0.039250731468200684,0.03569803386926651,0.035035181790590286,2.570657253265381,7
2007-02-21 17:13:09+00:00,2454153.2174730445,0.0,0.0,3,0,D,-25.074710845947266,-69.88766479492188,-114.89268493652344,60.85438919067383,49.78623962402344,61.0062370300293,-14.42995548248291,-12.06298542022705,-14.279450416564941,0,0.03011617437005043,0.03456328809261322,0.031215926632285118,7.658190727233887,4
2007-02-24 16:11:09+00:00,2454156.174417327,0.0,0.0,3,0,D,55.03484344482422,100.52330017089844,145.923583984375,46.93968963623047,36.25486755371094,46.945465087890625,-11.91481876373291,-10.005769729614258,-11.96540641784668,1,0.03274316340684891,0.029245002195239067,0.0300219114869833,2.9020891189575195,7
2007-02-26 03:10:56+00:00,2454157.632600371,0.0,0.0,3,0,A,116.1868896484375,71.3069076538086,26.38762855529785,52.6865119934082,41.642250061035156,52.64651107788086,-13.798002243041992,-11.357157707214355,-13.250070571899414,0,0.026159057393670082,0.037858158349990845,0.023892873898148537,5.8011932373046875,6
2007-02-26 17:09:45+00:00,2454158.215110035,0.0,0.0,3,0,D,-25.625123977661133,-70.42594909667969,-115.41797637939453,57.86967086791992,46.77552032470703,58.01300811767578,-14.298365592956543,-12.143275260925293,-13.994755744934082,0,0.02950257621705532,0.037478409707546234,0.031283557415008545,1.9046446084976196,7
2007-03-01 16:07:45+00:00,2454161.1720515746,0.0,0.0,3,0,D,54.374332427978516,100.0048828125,145.53067016601562,51.33140563964844,40.25774002075195,51.33373260498047,-13.03652572631836,-11.458512306213379,-13.656952857971191,1,0.03090294823050499,0.039749253541231155,0.03276855871081352,2.656313180923462,7
2007-03-03 03:07:34+00:00,2454162.6302562854,0.0,0.0,3,0,A,115.64929962158203,70.75874328613281,25.85874366760254,56.22127151489258,45.052730560302734,56.17959976196289,-16.31624984741211,-13.97116756439209,-15.944626808166504,0,0.03145202621817589,0.030147751793265343,0.027703825384378433,2.92822265625,7
2007-03-03 17:06:22+00:00,2454163.2127659726,0.0,0.0,3,0,D,-26.15339469909668,-70.96003723144531,-115.95147705078125,54.575809478759766,43.53146743774414,54.69580078125,-15.68017864227295,-13.504121780395508,-15.283517837524414,0,0.031478993594646454,0.02778543345630169,0.031497128307819366,3.939884901046753,7
2007-03-05 04:06:11+00:00,2454164.670968519,0.0,0.0,3,0,A,-145.78587341308594,-100.27653503417969,-54.752593994140625,49.44313049316406,38.470252990722656,49.34313201904297,-14.911234855651855,-12.791791915893555,-14.932567596435547,1,0.03451262414455414,0.033634863793849945,0.03177519142627716,5.428842544555664,7
2007-03-06 16:04:18+00:00,2454166.1696641557,0.0,0.0,3,0,D,53.701560974121094,99.48289489746094,145.13983154296875,55.23793029785156,43.951316833496094,55.24905776977539,-15.394781112670898,-13.704825401306152,-15.991316795349121,1,0.02370651811361313,0.02357422560453415,0.030163796618580818,5.982268333435059,6
2007-03-08 03:04:09+00:00,2454167.6278931024,0.0,0.0,3,0,A,115.11276245117188,70.21014404296875,25.31276512145996,59.421295166015625,48.21129608154297,59.351295471191406,-17.400131225585938,-15.404738426208496,-16.875732421875,0,0.032592009752988815,0.028393736109137535,0.031105859205126762,8.341020584106445,4
2007-03-08 17:02:58+00:00,2454168.2104002438,0.0,0.0,3,0,D,-26.679033279418945,-71.48812866210938,-116.48851776123047,50.85319900512695,39.9748420715332,50.96525192260742,-14.754688262939453,-13.054219245910645,-14.985960006713867,0,0.030226804316043854,0.031703975051641464,0.035466793924570084,4.688479423522949,7
2007-03-11 16:00:54+00:00,2454171.167298473,0.0,0.0,3,0,D,53.037132263183594,98.96537780761719,144.75999450683594,58.68740463256836,47.31459426879883,58.69219207763672,-12.653021812438965,-11.214584350585938,-13.117280006408691,1,0.02741873636841774,0.026602016761898994,0.029010916128754616,1.734849452972412,7
